Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
RM,2021-01-20 09:57:12.250900224,15700,10,83F339EF781D4886D001ADFA3AF15B75,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:57:12.250946048,15700,10,00E71C628E205B9B03174216D80BE24E,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:57:12.251525888,15700,10,8E2BA998F00E9C3A61E8862FB9798785,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:57:12.251586816,15700,3,3A80857B6DAFDFC0EFF691419F42EB5D,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:57:27.062561024,15700,100,9A2406A503AF36233B5E191D92472A3D,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 09:59:03.915161088,15665,1,60F8FDB0C66B0B20AFA7DA7AA9E9822F,46F1E615C1972981E0DA81E8C51CF6B3
RM,2021-01-20 09:59:03.915252736,15665,1,A189FDDF81E49A57BB19AFEC761030AF,C417C401EA8E16AB00C915E709EA6C11
RM,2021-01-20 10:01:55.760727040,15700,30,579DECEBEF7AEC6B5800390666769456,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.761520384,15700,8,BCCFC21043A314CF74E3C9B62021CAC5,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.761612032,15700,10,CD687D1B31FA9F05973B9F7DABBB90BB,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.761688320,15700,8,54568160B284936E0A11EE8E48F1C1FD,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.761733888,15700,10,22696023E85BF74C0CFA1AA6D4936D2B,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.762283264,15700,7,D5530002F686F6973A169D78E31E428D,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.762435840,15700,1,F7DBD28CD6DE20B028980D5647F28995,7A842F78C10310BF4F3E8D0EFF2748B3
RM,2021-01-20 10:01:55.762451200,15700,9,F7DBD28CD6DE20B028980D5647F28995,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.762527488,15700,1,FA369E288F875E8DA1B28A9991C5A8FC,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.762557952,15700,10,C0F1CA480F0FC571CC2641F6B20797D2,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.762848000,15700,10,88ABA984BC6505B52C91604013E0A7B2,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.763076864,15700,10,18AA3DDB85E1673FE4DE8EDA4CE6162C,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.763198976,15700,10,2BED774D0C46C6A3075BAEEB7AD7C0E3,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.763244544,15700,10,10EA1D819F947BC563067926492FA8F6,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.763427840,15700,10,DA8CFF94F76BDF0FB440C89C196FC13E,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.763793920,15700,10,F6E7EB5B996762987856DBA1B053C277,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.764022784,15700,20,3175A256EC64B32A1CC326B4A94FE0F8,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.764114432,15700,10,7C55CB26C4860E748E02278D0B0C0E4B,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.764175360,15700,1,E4C06A057D240647C4939D478F6332CA,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:01:55.764205824,15700,10,D4ADD0B2090CF9B673E2C8945A140EA4,961EBAFB072C1264221D0AE7124C21CF
RM,2021-01-20 10:11:03.798767104,15695,10,23084F1F93D6CB142D1FAB6E5F1B0B5A,929AF8929D7C8E771FBBA785312A223A
RM,2021-01-20 10:11:25.152816896,15695,1,477EFEE138FCC4E3303E65756FBEAB20,929AF8929D7C8E771FBBA785312A223A
RM,2021-01-20 10:16:25.272201472,15690,10,A0B1976B055367DD6EE5C742E003F958,E279EF49B1B748AE1F4B9512B65CDD21
RM,2021-01-20 10:16:25.272216832,15695,90,A0B1976B055367DD6EE5C742E003F958,929AF8929D7C8E771FBBA785312A223A
RM,2021-01-20 10:18:21.947814912,15695,10,AAD0C41D210672AD8A40E26E1A18073F,929AF8929D7C8E771FBBA785312A223A
RM,2021-01-20 10:22:10.908538880,15685,10,70A6EA349BC3F965467A994B2135D968,FE47A7B98E7867977011F7D014B0A9B8
RM,2021-01-20 10:22:10.908553984,15690,1,70A6EA349BC3F965467A994B2135D968,70A1FD7EE5ADFAC18F1CAA98320AF723
RM,2021-01-20 10:24:12.444534272,15680,1,AD310FF92FAC5EA405D4C6947E91956A,929AF8929D7C8E771FBBA785312A223A
RM,2021-01-20 10:24:21.347259648,15650,25,DBA83677ED52A9B33488F2139B6BCEF3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347274752,15640,1,19CE9C135ABB3B39222A034937DB2DDA,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347290112,15635,163,466A4D88B76947FEBDA2BD2D27021FB9,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347305216,15630,14,B276E6AEAE8EF501720CFFD4DFAE9BA2,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347320576,15630,160,04AE11A00D8CEAEB2421C0211168D46B,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347335936,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347351040,15620,26,FB1D8300FDF6B5D167868F45B13CC393,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347366400,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347381504,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347396864,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347412224,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347427328,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347442688,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347457792,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347473152,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347488512,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347503616,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347518976,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347534080,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347549440,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347564800,15620,25,8E5FE76BFE50BB8B170EFB0403897175,96C865F75285AEA9A0CF40955ECD2864
RM,2021-01-20 10:24:21.347579904,15620,28,66DC5024B3848075DFE5A9AF8FDDB2D3,96C865F75285AEA9A0CF40955ECD2864
